user_id,k,l,tau,CTE_A2S_H,CTE_S2A_H,Delta_CTE,p_A2S_H,p_S2A_H,n_samples,n_samples_per_bin_min,low_n
61359772-D8D8-480D-B623-7C636EAD0C81,3,3,1,0.031731103493666125,0.09392769238206138,-0.06219658888839525,0.35864135864135865,0.9790209790209791,5474,515,False
61359772-D8D8-480D-B623-7C636EAD0C81,4,4,1,0.04198440678566481,0.10225671310275952,-0.06027230631709471,0.3626373626373626,0.9790209790209791,5473,514,False
61976C24-1C50-4355-9C49-AAE44A7D09F6,1,1,1,0.009833435993286437,0.03413703235063087,-0.024303596357344432,0.027972027972027972,0.3786213786213786,5730,652,False
61976C24-1C50-4355-9C49-AAE44A7D09F6,2,2,1,0.030157341838891648,0.09341716516784875,-0.0632598233289571,0.003996003996003996,0.001998001998001998,5729,652,False
61976C24-1C50-4355-9C49-AAE44A7D09F6,3,3,1,0.04891316135417734,0.11766882843192991,-0.06875566707775257,0.001998001998001998,0.016983016983016984,5728,652,False
61976C24-1C50-4355-9C49-AAE44A7D09F6,4,4,1,0.05839394217776105,0.10310801272890227,-0.04471407055114122,0.001998001998001998,0.6003996003996004,5727,652,False
665514DE-49DC-421F-8DCB-145D0B2609AD,1,1,1,0.006408855311726189,0.04594194568698516,-0.03953309037525897,0.3906093906093906,0.004995004995004995,6751,977,False
665514DE-49DC-421F-8DCB-145D0B2609AD,2,2,1,0.020538253830412995,0.07637907976559513,-0.05584082593518214,0.15884115884115885,0.26573426573426573,6750,977,False
665514DE-49DC-421F-8DCB-145D0B2609AD,3,3,1,0.03772754876638554,0.11076675023406624,-0.0730392014676807,0.055944055944055944,0.9460539460539461,6749,977,False
665514DE-49DC-421F-8DCB-145D0B2609AD,4,4,1,0.04885029050610062,0.12186999465726002,-0.07301970415115941,0.31368631368631367,1.0,6748,977,False
74B86067-5D4B-43CF-82CF-341B76BEA0F4,1,1,1,0.012815806733959425,0.0508350272675153,-0.03801922053355587,0.001998001998001998,0.002997002997002997,6602,986,False
74B86067-5D4B-43CF-82CF-341B76BEA0F4,2,2,1,0.027606343371449828,0.05459539699777958,-0.02698905362632975,0.003996003996003996,0.027972027972027972,6601,986,False
74B86067-5D4B-43CF-82CF-341B76BEA0F4,3,3,1,0.037794926748277224,0.0652318772599328,-0.02743695051165558,0.003996003996003996,0.6333666333666333,6600,986,False
74B86067-5D4B-43CF-82CF-341B76BEA0F4,4,4,1,0.052405553475043186,0.07659581302669259,-0.024190259551649405,0.004995004995004995,0.984015984015984,6599,986,False
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,1,1,1,0.006800091638998313,0.025034585633691035,-0.01823449399469272,0.14085914085914086,0.2937062937062937,8300,980,False
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,2,2,1,0.024476865902865408,0.06782046860127147,-0.043343602698406064,0.001998001998001998,0.004995004995004995,8299,980,False
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,3,3,1,0.04247507479257605,0.10792535753396268,-0.06545028274138663,0.001998001998001998,0.000999000999000999,8298,980,False
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,4,4,1,0.056229878295595774,0.10561116570326828,-0.04938128740767251,0.000999000999000999,0.016983016983016984,8297,980,False
797D145F-3858-4A7F-A7C2-A4EB721E133C,1,1,1,0.023828579006243387,0.09227401905644853,-0.06844544005020514,0.5394605394605395,0.003996003996003996,2668,39,False
797D145F-3858-4A7F-A7C2-A4EB721E133C,2,2,1,0.049531071941977964,0.1730958057854003,-0.12356473384342233,0.9370629370629371,0.002997002997002997,2667,39,False
797D145F-3858-4A7F-A7C2-A4EB721E133C,3,3,1,0.07268136633733879,0.18111174136842575,-0.10843037503108696,0.987012987012987,0.8821178821178821,2666,39,False
797D145F-3858-4A7F-A7C2-A4EB721E133C,4,4,1,0.09780462485772548,0.14194887599073377,-0.044144251133008294,0.903096903096903,1.0,2665,39,False
7CE37510-56D0-4120-A1CF-0E23351428D2,1,1,1,0.012427526620411564,0.030652843862732634,-0.01822531724232107,0.002997002997002997,0.000999000999000999,9384,1428,False
7CE37510-56D0-4120-A1CF-0E23351428D2,2,2,1,0.03413049178685771,0.0662102534352576,-0.032079761648399895,0.000999000999000999,0.000999000999000999,9383,1428,False
7CE37510-56D0-4120-A1CF-0E23351428D2,3,3,1,0.061294014834657906,0.09481299070692648,-0.03351897587226857,0.002997002997002997,0.003996003996003996,9382,1428,False
7CE37510-56D0-4120-A1CF-0E23351428D2,4,4,1,0.08385363711695248,0.09349705745137081,-0.009643420334418326,0.001998001998001998,0.03296703296703297,9381,1428,False
7D9BB102-A612-4E2A-8E22-3159752F55D8,1,1,1,0.035526503377720266,0.081044482283274,-0.04551797890555374,0.2827172827172827,0.03496503496503497,683,22,False
7D9BB102-A612-4E2A-8E22-3159752F55D8,2,2,1,0.0595450995228735,0.06681703369282928,-0.007271934169955779,0.6413586413586414,0.8931068931068931,682,22,False
7D9BB102-A612-4E2A-8E22-3159752F55D8,3,3,1,0.07864747891070535,0.04321516427632926,0.03543231463437609,0.6523476523476524,1.0,681,22,False
7D9BB102-A612-4E2A-8E22-3159752F55D8,4,4,1,0.07872874352909168,0.030175258436285737,0.04855348509280594,0.8811188811188811,0.996003996003996,680,22,False
